Iles;categories;somme;commentaire;localité
;3;38400;tente;
;2;41000;voilier matilda;Nouméa - Tanna
;2;32000;Air Vanuatu;Tanna - Noumea
Tanna;1;5000;registration bateau;Lenakel
Tanna;5;6700;volcan Yasur;Yasur
Tanna;2;4000;retour au bateau;Yasur - Port resolution
Tanna;6;1000;panniers;Port resolution
Tanna;5;200;Hot Spring ;Port resolution
Tanna;4;200;magasin;Port resolution
Tanna;4;3700;restaurant;Port resolution
Tanna;5;4700;volcan Yasur 2nd montée;Yasur
Tanna;2;2000;trajet 4x4;Manuapen - Yasur
Tanna;4;400;farine;Manuapen
Tanna;3;4500;Alike house;Manuapen
Tanna;5;1000;Hot Spring ;Ipeukel
Tanna;4;800;magasin;Yasur
Tanna;4;500;magasin;Yasur
Tanna;5;2000;volcan Yasur 3eme montée;Yasur
Tanna;3;3000;Yasur camping;Yasur
Tanna;2;11000;Touaraken;Tanna - efate
Tanna;2;2000;trajet 4x4;Yasur - Lenakel
Tanna;4;1700;Marché;Lenakel
Tanna;2;1600;trajet 4x4;Lenakel - Ianakoun
Efate;4;8200;Marché;Port villa
Efate;4;3800;restaurant;Port villa
Efate;3;18000;Gimini House;Port villa
Efate;6;4600;tanna coffee;Melee
Efate;4;1000;course;Port villa
Efate;2;600;taxi;Melee - Port villa
Efate;4;3000;;Port villa
Efate;1;900;internet;Port villa
Efate;2;600;taxi;Port villa - Port villa Sud
Efate;5;2000;Pilioko;Port villa sud
Efate;6;4000;Pilioko gift;Port villa sud
Efate;6;1500;;Port villa
Efate;6;6500;;Port villa
Efate;2;16000;Vanuatu ferries;Efate - Santo
Efate;4;1000;;Port villa
Efate;4;5000;;Port villa
Efate;4;4200;;Port villa
Efate;1;12000;immigration extention visa;Port villa
Efate;4;1400;;Port villa
Santo;4;5400;restaurant;Luganville
Santo;3;3000;Asia Motel;Luganville
Santo;4;800;;Luganville
Santo;4;1800;;Luganville
Santo;5;14000;Millenium cave;
Santo;3;1000;;
Santo;2;10200;Tina 1;Santo - Ambrym
Santo;4;600;;Luganville
Santo;2;1200;Public bus;Luganville - Matantas
Santo;3;5700;camping;Big Bay
Santo;4;300;;Luganville
Santo;2;1000;bus;Matantas - Luganville
Santo;4;500;;Luganville
Santo;1;900;internet;Luganville
Santo;4;1500;Marché;Luganville
Santo;1;500;tel TVL;Luganville
Santo;2;600;Public transport;Luganville - Fanafo
Santo;4;500;;
Santo;4;400;;Fanafo
Santo;2;600;Public transport;Fanafo
Santo;4;1500;;
Santo;2;2400;;Leweton - cooperative agricole
Santo;6;3100;peper cacao tabac;
Santo;4;3450;;
Santo;1;900;internet;
Santo;4;2000;;
Santo;4;4500;;
Santo;5;16000;plongé coolidge;
Santo;4;2200;;
Santo;4;300;;
Santo;2;200;Public bus;Luganvile - Tina 1 dock
Santo;6;2500;panniers nattes;
Ambrym;3;6000;Douglas bungalow;Ranon
Ambrym;4;550;;
Ambrym;6;15000;;
Ambrym;4;2000;;
Ambrym;4;500;;
Ambrym;2;2000;4x4;Ranon - Volcan
Ambrym;5;10000;Volcan + guide;Ranvetlam
Ambrym;3;2000;;Ranon
Ambrym;4;500;;Meltugon
Ambrym;6;2000;;Meltugon
Ambrym;4;700;;Meltugon
Ambrym;6;500;;Meltugon
Ambrym;1;200;tel TVL;Meltugon
Ambrym;2;13000;Vanuatu ferries;Craig cove - Port villa
Ambrym;6;750;;Meltugon
Ambrym;4;550;;Craig cove
Ambrym;4;600;;Craig cove
Ambrym;4;1100;course;Craig cove
Efate;1;500;internet;Port villa
Efate;4;750;;Port villa
Efate;4;7700;boucherie;Port villa
Efate;4;600;;Port villa
Efate;6;3300;fringues;Port villa
Efate;6;200;;Port villa
Efate;6;1000;;Port villa
Efate;2;600;bus;Port villa - aeroport
Efate;1;5000;fumigation;aeroport
Efate;1;250;internet;Port villa
Efate;1;100;tel TVL;Port villa
Efate;2;300;bus;Port villa
Efate;4;200;;Port villa
Efate;6;1600;timbre;Port villa
Efate;6;1200;photo;Port villa
Efate;6;11000;dutty free;Port villa
Efate;6;350;;Port villa
Efate;6;100;;Port villa
Efate;3;6000;Gimini House;Port villa
Efate;4;4000;restaurant;Port villa
Efate;4;4400;restaurant;Port villa
Efate;3;2000;serenity lodge;Port villa
Efate;2;300;;Port villa - aeroport
Efate;6;13500;boucherie 10kg;Port villa

;somme;474150;;
;;3951,25;;
